id	name	city	zipcode	street	house_number	telephone	fax	email	website	longitude	latitude	agency_number	main_school_type	school_type
9099793	Goethe-Gemeinschaftsschule, Gemeinschaftsschule der Landeshauptstadt Kiel in Kiel	Kiel	24118	Westring 358		+49 431 26042850	+49 431 26042869	Goethe-gemeinschaftsschule.kiel@schule.landsh.de	https://www.ggs-kiel.de	10.125675992206988	54.33448298508549	0707060	1024	1024
9099810	Gemeinschaftsschule am Hamberg, Gemeinschaftsschule des Amtes Burg-St. Michaelisdonn in Burg	Burg (Dithmarschen)	25712	Am Sportplatz	21	+49 4825 2569	+49 4825 9166	Gemeinschaftsschule-am-Hamberg.Burg@schule.landsh.de		9.251399129181406	54.00221251297963	0707200	1024	1024
9099825	Grundschule Hennstedt des Amtes KLG Eider in Hennstedt	Hennstedt (Dithmarschen)	25779	Schulstraße	29 - 31	+49 4836 516	+49 4836 639	Grundschule.Hennstedt-hei@schule.landsh.de		9.166013773625945	54.284540219044246	0702202	1	1
9099840	Marschenschool, Grundschule des Amtes Marne - Nordsee in Kronprinzenkoog	Kronprinzenkoog	25709	Mittelstraße	33	+49 4856 233	+49 4856 904350	Grundschule.Kronprinzenkoog@schule.landsh.de	https://www.marschenschool.de	8.962047784468572	53.97130346372738	0702190	1	1
9099857	Aussenstelle Helse	Helse	25709	Alte Landstraße	12	+49 4851 3497	+49 4851 964661	gs.helse@marschenschool.de	https://www.marschenschool.de	9.011490540839915	53.97399824844168			
9099874	Landerziehungsheim Stiftung Louisenlund Internatsgymnasium Boarding School - IB  World School	Güby	24357	Louisenlund	9	+49 4354 999302	+49 4354 999171	Stiftung-Louisenlund.Gueby@schule.landsh.de	https://www.louisenlund.de	9.680839414830515	54.4824578784585	0799550	256	288
9099887	Grundschule Schuby des Amtes Arensharde in Schuby	Schuby	24850	Bahnhofstraße	18	+49 4621 4390	+49 4621 41197	Grundschule.schuby@schule.landsh.de		9.47840048	54.51788635	0702787	1	1
9099904	Schule Hohe Geest, Gymnasium mit Gemeinschaftsschulteil des Schulverbandes Hohenwestedt, in Hohenwestedt	Hohenwestedt	24594	Rektor-Wurr-Straße	4 - 10	+49 4871 8668	+49 4871 1345	schule-hohe-geest.hohenwestedt@schule.landsh.de	https://www.Schule-Hohe-Geest.de	9.659182709802668	54.08937211077946	0705557	32	1056
9099921	Grundschule Lütte School	Henstedt-Ulzburg	24558	Abschiedskoppel	6	+49 4193 8825115	+49 4193 8825116	Luette-School.Henstedt-Ulzburg@schule.landsh.de	https://www.luette-school.de	9.980003722648963	53.77628444552968	0702886	1	1
9099932	Grundschule Breklum-Bredstedt-Bordelum	Bredstedt	25821	Gartenstraße	15	+49 4671 2410	+49 4671 2670	Grundschule.Bredstedt@schule.landsh.de	https://grundschule-bredstedt.de	8.96690868444978	54.61736108630756	0702329	1	4097
9099962	Auenwaldschule Grundschule Böklund	Böklund	24860	Stolker Straße	4	+49 4623 180280	+49 4623 180285	Auenwaldschule-Grundschule.Boeklund@schule.landsh.de	https://www.auenwaldschule.de	9.575534925406643	54.60298025159843	0702751	1	1
9099979	A. P. Møller Skolen	Schleswig	24837	Fjordallee	1	+49 4621 4820-0		apms@skoleforeningen.org		9.589968536913515	54.515353113777486	0799863	256	256
